"Latitude";"ACCESS1-0";"CMCC-CESM";"CMCC-CM";"CNRM-CM5";"GFDL-ESM2G";"GFDL-ESM2M";"GISS-E2-R";"IPSL-CM5A-LR";"IPSL-CM5A-MR";"IPSL-CM5B-LR";"MPI-ESM-LR";"MPI-ESM-MR";"MRI-CGCM3";"NorESM1-M";"NorESM1-ME"
-15;-0,663050781052426;14,4193849794773;14,1943173312773;-0,710551016347127;-0,982491645586074;-1,01544039582407;-0,594978810378778;-1,50089234020456;-1,44255311435544;-1,20786253185277;-1,36267519237598;-1,31691682374568;-0,519636421706689;-0,606582520932011;-0,583751523293269
-14;-0,704397352382976;16,4803715667035;15,1510763112126;-0,711081269397154;-1,006753487746;-1,04138387080267;-0,671228062728442;-1,44990404323939;-1,39423723070532;-1,15140069594754;-1,38991125055397;-1,35375212330853;-0,523978083471019;-0,597552114896299;-0,578313891255569
-13;-0,741099464153602;16,4803715667035;15,1510763112126;-0,664914848939441;-1,01637388344239;-1,0638302772514;-0,703301286338842;-1,44990404323939;-1,39423723070532;-1,15140069594754;-1,42223345400932;-1,3760224931923;-0,521825633821152;-0,591202097477171;-0,578402107804866
-12;-0,771405538277954;16,9398871193045;16,0092755974304;-0,63062124633291;-1,00133079766077;-1,06420579568053;-0,799969135488799;-1,3451743423155;-1,3018723458921;-1,06122389583681;-1,43839338895803;-1,3836169119202;-0,505516301773402;-0,57432342362994;-0,566286383817698
-11;-0,805763841425203;16,9398871193045;16,0092755974304;-0,582062336055215;-0,982675467383398;-1,04817800833261;-0,851754103597589;-1,3451743423155;-1,3018723458921;-1,06122389583681;-1,43334597540581;-1,38163233374555;-0,476378455057451;-0,556578132294366;-0,550791097327804
-10;-0,82588270543703;17,7814254538968;17,2539354840187;-0,523866657372955;-0,961271774198272;-1,03230605599952;-0,832505251106053;-1,18587161335604;-1,14906121524534;-0,939314364539819;-1,41131860442216;-1,35318798606686;-0,435301540259639;-0,515525571856307;-0,510666327632734
-9;-0,833076008944807;17,1975834924515;17,3649136165421;-1,22566264785471;-0,914195510337289;-0,979948284607825;-0,784840097609851;-0,994197797970278;-0,960718866883686;-0,791995380852931;-1,37622966431042;-1,305096397184;-0,37634685385557;-0,46086025883558;-0,456782254568098
-8;-0,828809096141619;17,5134901693321;17,902575022565;-1,10419202711914;-0,887768962063555;-0,9423187686448;-0,672956253490301;-0,838098353046694;-0,80667422478196;-0,677596762210099;-1,32172439931702;-1,24971538650308;-0,311558695211366;-0,39401424037574;-0,391384382050372
-7;-0,811931009732591;17,5134901693321;17,902575022565;-0,23363709428807;-0,820484078572373;-0,861340247106731;-0,576663254361793;-0,838098353046694;-0,80667422478196;-0,677596762210099;-1,24709762000277;-1,15814802139347;-0,256181559269922;-0,343212101475799;-0,341364008631023
-6;-0,777051834618334;17,6865087235951;18,2951241120481;-0,189767023975861;-0,739115603728064;-0,811346778958995;-0,452362703283612;-0,694185478095876;-0,663894150812412;-0,569898396003746;-1,14663364870323;-1,07868776032033;-0,188739234041796;-0,272425960686345;-0,269354337639049
-5;-0,720415731446942;17,9829728217656;19,0149912578398;-0,180142429496564;-0,627236574446268;-0,695251481320124;-0,189913246202234;-0,56933685518241;-0,539543073655057;-0,475241639443371;-1,029221523125;-0,927347791563477;-0,11551867233027;-0,192562819263838;-0,185075326663526
-4;-0,638746153214914;20,1438780592691;21,1493211625131;-0,132661698156766;-0,491800779783996;-0,561715453080063;-0,137966284776579;-0,359852347807542;-0,336521193853201;-0,317225245929001;-0,840165957311909;-0,817407154231221;-0,0171266398387669;-0,0968653574723243;-0,0821795610759851
-3;-0,531564216311671;21,753177154131;22,2490043197997;-0,0760270253207086;-0,313709383666313;-0,404292491773167;-0,0349434792839566;-0,278210020494426;-0,259062589724629;-0,254695869517056;-0,647537433607929;-0,592265390241476;0,121640798413449;-0,0079703119270592;0,0121874104242859
-2;-0,383178113805653;20,1546268769799;22,2217507287198;0,259363077695123;-0,13731648333888;-0,252299946527839;0,167177782233972;-0,162652391301065;-0,146738945538304;-0,165314748516898;-0,415958948898755;-0,435843901123887;0,323140930753015;-0,0302945947675221;-0,00422225550503253
-1;-0,201182975936425;11,6909917823062;15,4488824369182;0,0275734935509203;0,14314983682391;0,008569848094136;0,318143462365002;-0,0881285457324763;-0,0753917797367808;-0,104704465570108;-0,179604318644741;-0,161129955079349;0,545023409845218;0,371810690753911;0,3981665287993
0;-0,000963162172552533;-0,983555078868309;1,47518604125225;0,113148227698205;0,334654757214925;0,29195394515785;0,410601195373178;-0,0315487266084011;-0,0176778977289045;-0,0593935267988672;0,0972143262369074;0,106390810831989;0,801962572726579;0,761631169592576;0,791920635718508
1;0,184683898300188;-6,38233434831285;-5,03643092237053;0,178818266722442;0,616394805312482;0,56764794349117;0,491684307586681;-0,0029563991373416;0,01309212558928;-0,0375417215150421;0,352690758490311;0,306876560120109;0,931037799605147;0,676213129055343;0,69810428827578
2;0,33900058341545;-12,3413468225215;-12,5891588928858;0,217708400829958;0,874351707380284;0,812938273615172;0,579367271840461;0,0664410916415072;0,0850584600831232;0,0125049165911083;0,603402257058711;0,563868127014763;1,13911323089476;0,892815303421508;0,920963773781368
3;0,478045106597871;-12,9535080587436;-13,0788369868568;0,292724537421373;1,03066841985922;0,959359721061608;0,538796485012435;0,169393821856727;0,193016693269837;0,0893947544911872;0,792908313476218;0,703387953322317;1,30675783641868;0,99519880186263;1,02688834427356
4;0,584153395708693;-10,9759419912888;-11,6773985767025;0,324977101203973;1,18354811797849;1,11072662699445;0,671046674520691;0,236549656010681;0,25579484345722;0,141712568906189;0,945838598131976;0,871653336956089;1,42047211765055;1,07765882759345;1,11223065432046
5;0,676687686143221;-7,45316383643416;-9,00735599694824;0,379333656205264;1,30431839392234;1,24648372403135;0,828518949892979;0,401204526156171;0,414072328609606;0,254669175516732;1,07243492715581;0,998062966488486;1,50789966364694;1,16558507725077;1,19745752214501
6;0,751627929505399;-6,7915315176235;-8,24781334126933;0,463548752977922;1,40649904484037;1,37029908617361;0,994780859857055;0,499774456194477;0,513247357069666;0,313283940454315;1,14521474380877;1,09093091893081;1,56411593499971;1,22800736047303;1,25799665497479
7;0,817630639186394;-6,23669680390253;-7,5932126876631;0,547033199453296;1,48516186475539;1,41333674231535;1,20273267960153;0,60867294929306;0,636593804908221;0,389485499923132;1,23114623741733;1,16432876524431;1,60238101026893;1,31512085908248;1,33598364132941
8;0,870900983515563;-6,23669680390253;-7,5932126876631;0,664246000632922;1,547872006211;1,4855280785121;1,32025343858902;0,60867294929306;0,636593804908221;0,389485499923132;1,28670576500349;1,22991852865487;1,64506615147869;1,36308197280341;1,38627521005975
9;0,922995653106842;-6,05735445121133;-7,60769625311;0,734515536485891;1,57136656073586;1,51081544596466;1,51611486040567;0,720179425975089;0,76972868623046;0,462560574439697;1,35341730487521;1,27324553845431;1,68959526892563;1,41501168253548;1,43062899625473
10;0,975989241678609;-6,69220775826473;-7,7575804604659;0,900135759246735;1,61733680485722;1,555850707864;1,65679144291463;0,833139234668508;0,902267490819281;0,532418502678596;1,41920831845001;1,32837015090636;1,74400397808305;1,52966761254975;1,55213348762706
11;1,0252709075244;-7,78605644667262;-8,35908727589929;1,00776551895902;1,63578316523983;1,57525300573282;1,74387239943273;0,92172841385193;1,00571703587826;0,569711989172156;1,47361662126306;1,39028074694555;1,79833301994963;1,51181514126243;1,54139986854898
12;1,07365108391608;-7,78605644667262;-8,35908727589929;1,10771267078264;1,65628260842227;1,61779813190163;1,83718427946449;0,92172841385193;1,00571703587826;0,569711989172156;1,5265775845658;1,45912036350858;1,86525685023151;1,56544758343926;1,58795757156875
13;1,10184851754541;-8,57338770984653;-8,67393056827133;1,19901812753495;1,68657584715752;1,63925228684616;1,9080434218192;1,13364468845634;1,24327341708198;0,735258258868344;1,58203693292765;1,48730228068348;1,9193540966123;1,6197247075296;1,62577896122522
14;1,1273553511518;-8,57338770984653;-8,67393056827133;1,33270693188276;1,69255203271733;1,66704486409433;1,94804602660099;1,13364468845634;1,24327341708198;0,735258258868344;1,62273975081387;1,51703551989872;1,93598223862717;1,62660255891825;1,63633425600974
15;1,14678618028261;-7,87198794983264;-8,05665896121085;1,34555266216896;1,69232954988309;1,67438409868616;1,90855608502782;1,20421578623118;1,32303716600463;0,761289085838711;1,65441251786524;1,54713666030782;1,90901058442016;1,63437567894764;1,64177653033361
