"Longitude";"ACCESS1-0";"CanESM2";"CCSM4";"CMCC-CESM";"CMCC-CM";"CMCC-CMS";"CNRM-CM5";"CSIRO-Mk3-6-0";"GISS-E2-H-CC";"GISS-E2-H";"GISS-E2-R-CC";"GISS-E2-R";"HadGEM2-CC";"HadGEM2-ES";"IPSL-CM5A-LR";"IPSL-CM5A-MR";"IPSL-CM5B-LR";"MIROC5";"MIROC-ESM-CHEM";"MIROC-ESM";"MPI-ESM-LR";"MPI-ESM-MR";"MRI-CGCM3";"MRI-ESM1";"NorESM1-ME";"NorESM1-M"
294,5;-62,6770607005051;-61,0002941545273;-59,456444317051;-63,2487929211639;-62,7380106023255;-62,0811652001791;-62,1141764847879;-62,4033202921653;-60,263404098393;-65,3279619435764;-59,837182561397;-59,9929311443254;-62,8540318564591;-62,5130785127335;-61,6590807387649;-63,0793474456406;-66;-66;-59,9876832161466;-59,8494741366242;-62,7660335354815;-61,9539351877519;-61,7307166318339;-61,7174189385546;-60,7568750846629;-62,2042597444364
295,5;-62,349938572257;-61,0002941545273;-59,3403674197427;-62,8675585476442;-62,2924383655312;-61,7534523279472;-61,5562405613426;-61,9805577040363;-59,8404583717007;-62,0519128184263;-59,7414099961901;-59,8521512877252;-62,400221868203;-62,1224739130169;-61,2612360247687;-62,7122115055387;-65;-65;-59,8761338843442;-59,7842289792159;-62,1079578377522;-61,5262654067156;-61,0071322601809;-60,968118221005;-60,5318879885643;-61,9241874454823
296,5;-62,2665474110631;-61,0002941545273;-59,3592071354051;-62,8675585476442;-62,2924383655312;-61,7534523279472;-61,1829825758605;-61,9805577040363;-59,8404583717007;-62,0519128184263;-59,7414099961901;-59,8521512877252;-61,9617990015466;-61,8096664979405;-61,2612360247687;-62,7122115055387;-65;-65;-59,8761338843442;-59,7842289792159;-61,8225265299559;-61,2162035863508;-60,6657316190568;-60,5995071620889;-60,2260968793296;-61,736343716928
297,5;-62,128447437775;-61,0041626557387;-59,3592071354051;-62,6009586998519;-62,1304871808453;-61,5890668323474;-60,8953155283932;-61,879845199412;-59,8404583717007;-62,0519128184263;-59,7414099961901;-59,8521512877252;-61,5718185703345;-61,5063489983362;-60,8450339994351;-62,2336982142757;-64;-63,4912887744602;-59,8095736700181;-59,7340587351827;-61,6449672347736;-61,0001565077109;-60,611216213335;-60,5223946651074;-60,2260968793296;-61,736343716928
298,5;-61,9703433938094;-61,0041626557387;-59,4280254169468;-62,6009586998519;-62,1304871808453;-61,5890668323474;-60,7577025121035;-61,879845199412;-59,6992106522856;-61,6174757399243;-59,809345284425;-59,9721086335181;-60,8916248407118;-60,9093608961499;-60,8450339994351;-62,2336982142757;-64;-62,1291821976788;-59,7585219097759;-59,6524126734319;-61,6449672347736;-60,7783068916779;-60,643514498789;-60,5633407809103;-60,0218586753734;-61,5634810807433
299,5;-61,8331351454603;-61,0041626557387;-59,4758952958822;-62,1909099433932;-61,9679630851035;-61,5208912296552;-60,6693489340124;-61,8006502057109;-59,6992106522856;-61,6174757399243;-59,809345284425;-59,9721086335181;-60,6588039470739;-60,6760708292332;-60,4309399859161;-61,6501822679222;-64;-61,893371166217;-59,7585219097759;-59,6524126734319;-60,762411691117;-60,3764376487917;-60,6439703224176;-60,5594220975562;-59,8747242939159;-61,3266428067857
300,5;-61,4779283491527;-61,0061716936642;-59,4796359737997;-62,1909099433932;-61,9679630851035;-61,5208912296552;-60,5954832930565;-61,8006502057109;-59,5891179794689;-60,0919391933623;-59,9718348150858;-60,2386442011621;-60,5773141029911;-60,5746106732123;-60,4309399859161;-61,6501822679222;-64;-61,7210515343256;-59,70185175871;-59,5721148889879;-60,6415566020282;-59,6168593781715;-60,6110855484067;-60,5031277997517;-59,7516105734705;-61,1983081909022
301,5;-60,8859682071644;-61,0061716936642;-59,4456519593062;-61,761026382986;-61,7578909953056;-61,4286945343919;-60,4071409649749;-61,7351277861844;-59,5891179794689;-60,0919391933623;-59,9718348150858;-60,2386442011621;-60,4837131486697;-60,3951349727908;-59,9911961560358;-61,0854063652601;-63;-61,5446582043465;-59,5716035975945;-59,1310741830847;-60,5829007613007;-59,3422105944198;-60,4401799544539;-60,1868809223477;-59,6422861295037;-61,1971230991224
302,5;-60,4747865323085;-60,9722837547667;-59,3712143171125;-61,761026382986;-61,7578909953056;-61,4286945343919;-60,0201006321369;-61,7351277861844;-59,5891179794689;-60,0919391933623;-59,9718348150858;-60,2386442011621;-60,0116313915539;-60,003032673839;-59,9911961560358;-61,0854063652601;-64;-61,131043284681;-59,1815536592515;-58,8403118931829;-60,5684952012272;-59,1508595296102;-59,9515521843864;-59,9017153182907;-59,5308368265154;-61,1839826784133
303,5;-60,0635705857099;-60,9722837547667;-59,2548579790248;-61,4657355113141;-61,4582545692975;-61,2501114388183;-59,8133715969669;-61,5006770579676;-58,132166693106;-59,8088188207688;-59,9137494351734;-60,0955564752704;-59,7272602057996;-59,7221151342413;-59,6604332822633;-60,654508306079;-61,624548309978;-61,0623804990847;-59,1815536592515;-58,8403118931829;-59,8323858639963;-58,9186409086415;-59,7976388082005;-59,7839804669209;-59,3880059400721;-60,9086877278921
